make,model,variant,model_variant
Hyundai,Creta,SX PLUS 1.6 DIESEL,Creta SX
Hyundai,Creta,SX PLUS 1.6 DIESEL DUAL TONE,Creta SX
Hyundai,Creta,SX PLUS 1.6 PETROL,Creta SX
Hyundai,Creta,SX PLUS 1.6 PETROL DUAL TONE,Creta SX
Hyundai,Creta,SX PLUS AT 1.6 DIESEL,Creta SX
Hyundai,Creta,SX PLUS AT 1.6 PETROL,Creta SX
Hyundai,Creta,SX Plus 1.6  Petrol,Creta SX
Hyundai,Creta,SX Plus 1.6 AT CRDI,Creta SX
Hyundai,Creta,SX Plus 1.6 CRDI,Creta SX
Hyundai,Creta,SX Plus 1.6 CRDI Dual Tone,Creta SX
Hyundai,Venue,SX PLUS 1.0 TURBO DCT,Venue SX
Hyundai,Venue,SX PLUS 1.0 TURBO DCT DUAL TONE,Venue SX
Hyundai,Venue,SX Plus 1.0 AT Petrol [2019-2020],Venue SX
Hyundai,Venue,SX Plus 1.0 Turbo DCT,Venue SX
Hyundai,Verna,SX Plus 1.6 CRDi AT,Verna SX
Hyundai,Verna,SX Plus 1.6 VTVT AT,Verna SX
Hyundai,Aura,SX+ 1.0 TURBO GDI MT,Aura SX
Hyundai,XCENT PRIME,T+ CNG,XCENT PRIME 
Hyundai,Santro Xing,XE,Santro Xing XE
Hyundai,Santro Xing,XL eRLX - Euro II,Santro Xing XL
Isuzu,D-Max V-Cross,4x4,D-Max V-Cross 4x4
Jaguar,F-Pace,Prestige,F-Pace F-Pace
Jaguar,XE,Portfolio,XE XE
Jaguar,XF,2.2 Diesel,XF XF
Jaguar,XF,2.2 Diesel Luxury,XF XF
Jaguar,XF,3.0 V6 Premium Luxury,XF XF
Jaguar,XF,Portfolio Petrol CBU,XF XF
Jaguar,XF,Prestige Diesel CBU,XF XF
Jaguar,XJ L,3.0 V6 Portfolio,XJ L XJ L
Jaguar,XJ L,3.0 V6 premium-luxury,XJ L XJ L
Jeep,Compass,80 Anniversary 1.4 Petrol DCT,Compass 80 Anniversary
Jeep,Compass,LIMITED (O) 1.4 PETROL AT,Compass Limited
Jeep,Compass,LIMITED (O) 1.4 PETROL AT BLACK PACK,Compass Limited
Jeep,Compass,LIMITED (O) 2.0 DIESEL,Compass Limited
Jeep,Compass,LIMITED (O) 2.0 DIESEL 4X4,Compass Limited
Jeep,Compass,LIMITED 1.4 PETROL AT,Compass Limited
Jeep,Compass,LIMITED 2.0 DIESEL,Compass Limited
Jeep,Compass,LIMITED PLUS DIESEL,Compass Limited
Jeep,Compass,LIMITED PLUS PETROL AT,Compass Limited
Jeep,Compass,LONGITUDE (O) 1.4 PETROL AT,Compass Longitude
Jeep,Compass,LONGITUDE (O) 2.0 DIESEL,Compass Longitude
Jeep,Compass,LONGITUDE 2.0 DIESEL,Compass Longitude
Jeep,Compass,LONGITUDE PLUS 1.4 PETROL AT,Compass Longitude
Jeep,Compass,Limited (O) 1.4 Petrol AT [2017-2020],Compass Limited
Jeep,Compass,Limited (O) 1.4 Petrol DCT [2021],Compass Limited
Jeep,Compass,Limited (O) 2.0 Diesel 4x4 AT [2021],Compass Limited
Jeep,Compass,Limited (O) 2.0 Diesel 4x4 Black Pack [2019-2020],Compass Limited
Jeep,Compass,Limited (O) 2.0 Diesel 4x4 [2017-2020],Compass Limited
Jeep,Compass,Limited (O) 2.0 Diesel [2017-2020],Compass Limited
Jeep,Compass,Limited 1.4 Petrol AT [2017-2020],Compass Limited
Jeep,Compass,Limited 2.0 Diesel [2017-2020],Compass Limited
Jeep,Compass,Limited Plus 2.0 Diesel 4x4 AT [2020-2020],Compass Limited
Jeep,Compass,Limited Plus Diesel 4x4,Compass Limited
Jeep,Compass,Limited Plus Diesel 4x4 [2018-2020],Compass Limited
Jeep,Compass,Limited Plus Diesel [2018-2020],Compass Limited
Jeep,Compass,Limited Plus Petrol AT,Compass Limited
Jeep,Compass,Limited Plus Petrol AT [2018-2020],Compass Limited
Jeep,Compass,Longitude (O) 1.4 Petrol AT [2019-2020],Compass Longitude
Jeep,Compass,Longitude (O) 2.0 Diesel [2017-2020],Compass Longitude
Jeep,Compass,Longitude 2.0 Diesel [2017-2020],Compass Longitude
Jeep,Compass,Model S (O) 1.4 Petrol DCT [2021],Compass Model S
Jeep,Compass,Model S (O) Diesel 4x4 AT [2021],Compass Model S
Jeep,Compass,SPORT 1.4 PETROL,Compass SPORT 1.4
Jeep,Compass,SPORT 1.4 PETROL DCT,Compass SPORT 1.4
Jeep,Compass,SPORT 2.0 DIESEL,Compass SPORT 2.0
Jeep,Compass,SPORT PLUS 1.4 PETROL,Compass SPORT PLUS
Jeep,Compass,SPORT PLUS 2.0 DIESEL,Compass SPORT PLUS
Jeep,Compass,Sport 1.4 Petrol,Compass Sport 1.4
Jeep,Compass,Sport 2.0 Diesel,Compass Sport 2.0
Jeep,Compass,Sport Plus 1.4 Petrol [2019-2020],Compass Sport Plus
Jeep,Compass,Sport Plus 2.0 Diesel,Compass Sport Plus
Jeep,Compass,Trailhawk (O) 2.0 4x4,Compass Trailhawk (O)
Jeep,Meridian,Limited (O) 4X2 MT [2022],Meridian Limited
Jeep,Meridian,Limited (O) 4X4 AT [2022],Meridian Limited
KIA,Carens,LUXURY 1.4 PETROL 7 STR,Carens Luxury
KIA,Carens,LUXURY PLUS 1.4 PETROL 6 STR,Carens Luxury
KIA,Carens,LUXURY PLUS 1.4 PETROL 7 STR,Carens Luxury
KIA,Carens,LUXURY PLUS 1.5 DIESEL AT 6 STR,Carens Luxury
KIA,Carens,Luxury 1.4 Petrol 7 STR,Carens Luxury
KIA,Carens,Luxury 1.5 Diesel 7 STR,Carens Luxury
KIA,Carens,Luxury Plus 1.4 Petrol 6 STR,Carens Luxury
KIA,Carens,Luxury Plus 1.4 Petrol 7 STR,Carens Luxury
KIA,Carens,Luxury Plus 1.4 Petrol DCT 6 STR,Carens Luxury
KIA,Carens,Luxury Plus 1.5 Diesel 7 STR,Carens Luxury
KIA,Carens,Luxury Plus 1.5 Diesel AT 6 STR,Carens Luxury
KIA,Carens,Luxury Plus 1.5 Diesel AT 7 STR,Carens Luxury
KIA,Carens,PREMIUM 1.4 PETROL 7 STR,Carens PREMIUM 1.4
KIA,Carens,PRESTIGE PLUS 1.4 PETROL 7 STR,Carens PRESTIGE PLUS
KIA,Carens,Prestige 1.5 Petrol MT 7 STR,Carens Prestige 1.5
KIA,Carens,Prestige Plus 1.4 Petrol MT 7 STR,Carens Prestige Plus
KIA,Carnival,Limousine Plus 7 STR,Carnival Limousine Plus
KIA,Carnival,PREMIUM 2.2 7 STR,Carnival PREMIUM 2.2
KIA,Carnival,Prestige 7 STR,Carnival Prestige 7
KIA,Carnival,Prestige 9 STR,Carnival Prestige 9
KIA,EV6,GT Line AWD,EV6 GT Line
KIA,Seltos,GTK 1.4 PETROL,Seltos GTK 1.4
KIA,Seltos,GTX (O) 1.4,Seltos GTX
KIA,Seltos,GTX 1.4,Seltos GTX
KIA,Seltos,GTX 1.4 PETROL,Seltos GTX
KIA,Seltos,GTX 1.4 PETROL DUAL TONE,Seltos GTX
KIA,Seltos,GTX AT 1.4,Seltos GTX
KIA,Seltos,GTX AT 1.4 PETROL,Seltos GTX
KIA,Seltos,GTX PLUS 1.4,Seltos GTX
KIA,Seltos,GTX PLUS 1.4 PETROL,Seltos GTX
KIA,Seltos,GTX PLUS 1.4 PETROL DCT DUAL TONE,Seltos GTX
KIA,Seltos,GTX PLUS 1.4 PETROL DUAL TONE,Seltos GTX
KIA,Seltos,GTX PLUS 1.5 DIESEL AT,Seltos GTX
KIA,Seltos,GTX PLUS AT 1.5 DIESEL,Seltos GTX
KIA,Seltos,GTX PLUS DCT 1.4 PETROL,Seltos GTX
KIA,Seltos,GTX Plus 1.4 DCT,Seltos GTX
KIA,Seltos,GTX Plus 1.4 [2020-2021],Seltos GTX
KIA,Seltos,GTX Plus 1.5 Diesel AT,Seltos GTX
KIA,Seltos,GTX Plus AT 1.4 [2019-2020],Seltos GTX
KIA,Seltos,GTX Plus AT 1.5 Diesel [2019-2020],Seltos GTX
KIA,Seltos,HTE 1.5,Seltos HTE
KIA,Seltos,HTE 1.5 DIESEL,Seltos HTE
KIA,Seltos,HTE 1.5 Diesel,Seltos HTE
KIA,Seltos,HTE 1.5 PETROL,Seltos HTE
KIA,Seltos,HTK 1.5 PETROL,Seltos HTK
KIA,Seltos,HTK 1.5 [2019-2020],Seltos HTK
KIA,Seltos,HTK 1.5 [2020-2021],Seltos HTK
KIA,Seltos,HTK PLUS 1.5,Seltos HTK
KIA,Seltos,HTK PLUS 1.5 DIESEL,Seltos HTK
KIA,Seltos,HTK PLUS 1.5 IMT,Seltos HTK
KIA,Seltos,HTK PLUS AT 1.5 DIESEL,Seltos HTK
KIA,Seltos,HTK Plus 1.5 Diesel AT,Seltos HTK
KIA,Seltos,HTK Plus 1.5 Diesel [2019-2020],Seltos HTK
KIA,Seltos,HTK Plus 1.5 Diesel iMT,Seltos HTK
KIA,Seltos,HTK Plus 1.5 Petrol MT,Seltos HTK
KIA,Seltos,HTK Plus 1.5 [2019-2020],Seltos HTK
KIA,Seltos,HTK Plus 1.5 iMT,Seltos HTK
KIA,Seltos,HTX 1.5 CVT PETROL,Seltos HTX
KIA,Seltos,HTX 1.5 DIESEL,Seltos HTX
KIA,Seltos,HTX 1.5 Dual Tone [2019-2020],Seltos HTX
KIA,Seltos,HTX 1.5 IVT,Seltos HTX
KIA,Seltos,HTX 1.5 PETROL,Seltos HTX
KIA,Seltos,HTX 1.5 [2020-2021],Seltos HTX
KIA,Seltos,HTX IVT 1.5 PETROL,Seltos HTX
KIA,Seltos,HTX IVT 1.5 [2019-2020],Seltos HTX
KIA,Seltos,HTX PETROL 1.5,Seltos HTX
KIA,Seltos,HTX PLUS 1.5 DIESEL,Seltos HTX
KIA,Seltos,HTX PLUS AT1.5 DIESEL,Seltos HTX
KIA,Seltos,HTX Plus 1.5 Diesel [2020-2021],Seltos HTX
KIA,Seltos,HTX Plus AT 1.5 Diesel [2019-2020],Seltos HTX
KIA,Seltos,X LINE 1.5 DIESEL AT,Seltos X LINE
KIA,Seltos,X Line 1.4 DCT,Seltos X Line
KIA,Sonet,GTX PLUS 1.0 DCT,Sonet GTX
KIA,Sonet,GTX PLUS 1.0 IMT,Sonet GTX
KIA,Sonet,GTX PLUS 1.0 IMT DUAL TONE,Sonet GTX
KIA,Sonet,GTX PLUS 1.5,Sonet GTX
KIA,Sonet,GTX PLUS 1.5 AT,Sonet GTX
KIA,Sonet,GTX PLUS 1.5 IMT,Sonet GTX
KIA,Sonet,GTX PLUS 1.5D  AT,Sonet GTX
KIA,Sonet,GTX Plus 1.0 DCT [2020-2021],Sonet GTX
KIA,Sonet,GTX Plus 1.0 iMT,Sonet GTX
KIA,Sonet,GTX Plus 1.0 iMT [2020-2021],Sonet GTX
KIA,Sonet,GTX Plus 1.5 AT Dual Tone,Sonet GTX
KIA,Sonet,GTX Plus 1.5 AT [2020-2021],Sonet GTX
KIA,Sonet,GTX Plus 1.5 Diesel AT,Sonet GTX
KIA,Sonet,GTX Plus 1.5 Dual Tone,Sonet GTX
KIA,Sonet,GTX Plus 1.5 [2020-2021],Sonet GTX
KIA,Sonet,HTE 1.2,Sonet HTE
KIA,Sonet,HTE 1.5,Sonet HTE
KIA,Sonet,HTK 1.2,Sonet HTK
KIA,Sonet,HTK 1.2 [2020-2021],Sonet HTK
KIA,Sonet,HTK 1.5,Sonet HTK
KIA,Sonet,HTK PLUS 1.0 DCT,Sonet HTK
KIA,Sonet,HTK PLUS 1.0 IMT,Sonet HTK
KIA,Sonet,HTK PLUS 1.2,Sonet HTK
KIA,Sonet,HTK PLUS 1.2 PETROL MT,Sonet HTK
KIA,Sonet,HTK PLUS 1.5,Sonet HTK
KIA,Sonet,HTK PLUS 1.5 AT,Sonet HTK
KIA,Sonet,HTK Plus 1.0 iMT [2020-2021],Sonet HTK
KIA,Sonet,HTK Plus 1.5 AT,Sonet HTK
KIA,Sonet,HTK Plus 1.5 [2020-2021],Sonet HTK
KIA,Sonet,HTX 1.0 IMT,Sonet HTK
KIA,Sonet,HTX 1.0 iMT [2020-2021],Sonet HTK
KIA,Sonet,HTX 1.5 AT,Sonet HTK
KIA,Sonet,HTX 1.5 [2020-2021],Sonet HTK
KIA,Sonet,HTX ANNIVERSARY EDITION 1.0 DCT,Sonet HTK
KIA,Sonet,HTX ANNIVERSARY EDITION 1.5,Sonet HTK
KIA,Sonet,HTX PLUS 1.0 IMT,Sonet HTK
KIA,Sonet,HTX Plus 1.0 iMT [2020-2021],Sonet HTK
Lamborghini,Urus,Twin-Turbo V8,Urus Twin-Turbo V8
Land Rover,Defender,110 HSE 2.0 Petrol,Defender 110 HSE
Land Rover,Discovery,2.0 S 4WD Diesel,Discovery 2.0 S
Land Rover,Discovery,2.0 SE 4WD Diesel,Discovery 2.0 SE
Land Rover,Discovery,3.0 HSE Diesel,Discovery 3.0 HSE
Land Rover,Discovery,3.0 HSE Luxury Petrol,Discovery 3.0 HSE
Land Rover,Discovery,3.0 SE Petrol,Discovery 3.0 SE
Land Rover,Discovery,HSE,Discovery HSE
Land Rover,Discovery Sport,HSE,Discovery Sport HSE
Land Rover,Discovery Sport,HSE 7-Seater,Discovery Sport HSE 7-Seater
Land Rover,Discovery Sport,HSE Luxury,Discovery Sport HSE Luxury
Land Rover,Discovery Sport,HSE Luxury 7-Seater,Discovery Sport HSE Luxury
Land Rover,Discovery Sport,HSE Petrol,Discovery Sport HSE Petrol
Land Rover,Discovery Sport,SE R-Dynamic,Discovery Sport SE R-Dynamic
Land Rover,Discovery Sport,SE R-Dynamic [2023-2024],Discovery Sport SE R-Dynamic
Land Rover,Freelander 2,HSE SD4,Freelander 2 HSE SD4
Land Rover,Freelander 2,SE,Freelander 2 SE
Land Rover,Freelander 2,SE TD4,Freelander 2 SE TD4
Land Rover,Range Rover,3.6 TDV8 Vogue SE Diesel,Range Rover 3.6 TDV8
Land Rover,Range Rover,4.4 SDV8 Vogue SE,Range Rover 4.4 SDV8
Land Rover,Range Rover,5.0 Supercharged V8 Petrol,Range Rover 5.0 Supercharged
Land Rover,Range Rover Evoque,Dynamic SD4,Range Rover Evoque Dynamic SD4
Land Rover,Range Rover Evoque,HSE,Range Rover Evoque HSE
Land Rover,Range Rover Evoque,HSE Dynamic,Range Rover Evoque HSE Dynamic
Land Rover,Range Rover Evoque,Prestige SD4,Range Rover Evoque Prestige SD4
Land Rover,Range Rover Evoque,SE,Range Rover Evoque SE
Land Rover,Range Rover Evoque,SE Dynamic,Range Rover Evoque SE Dynamic
Land Rover,Range Rover Evoque,SE R-Dynamic,Range Rover Evoque SE R-Dynamic
Land Rover,Range Rover Evoque,SE R-Dynamic Diesel [2022-2023],Range Rover Evoque SE R-Dynamic
Land Rover,Range Rover Evoque,SE R-Dynamic Petrol [2021-2023],Range Rover Evoque SE R-Dynamic
Land Rover,Range Rover Sport,3.0 TDV6,Range Rover Sport 3.0 TDV6
Land Rover,Range Rover Sport,SDV6 HSE,Range Rover Sport SDV6 HSE
Land Rover,Range Rover Sport,SDV6 SE,Range Rover Sport SDV6 SE
Land Rover,Range Rover Sport,SDV8 HSE,Range Rover Sport SDV8 HSE
Land Rover,Range Rover Sport,SE 2.0 Petrol,Range Rover Sport SE 2.0
Land Rover,Range Rover Sport,SE 3.0 Diesel [2018-2020],Range Rover Sport SE 3.0
Land Rover,Range Rover Velar,2.0 R-Dynamic S Petrol 250 [2017-2020],Range Rover Velar 2.0 R-Dynamic
Land Rover,Range Rover Velar,2.0 S Petrol 250,Range Rover Velar 2.0 S
Lexus,ES,300h Luxury,ES 300h Luxury
Lexus,ES,300h Luxury [2020-2021],ES 300h Luxury
Lexus,ES,300h [2018-2020],ES 300h [2018-2020]
Lexus,NX,300h Luxury [2017-2020],NX 300h Luxury
Lexus,NX,350h Luxury,NX 350h Luxury
Lexus,RX,Luxury,RX Luxury
Mahindra,Alturas G4,4WD AT,Alturas G4 4WD
Mahindra,Alturas G4,4WD AT [2018-2020],Alturas G4 4WD
Mahindra,Bolero,B4,Bolero B
Mahindra,Bolero,B6,Bolero B
Mahindra,Bolero,B6 (O),Bolero B
Mahindra,Bolero,B6 (O) [2022],Bolero B
Mahindra,Bolero,B6 [2022],Bolero B
Mahindra,Bolero,DI BS III,Bolero DI BS
Mahindra,Bolero,Plus AC BS IV,Bolero Plus AC
Mahindra,Bolero,Power Plus ZLX [2016-2019],Bolero ZLX BS
Mahindra,Bolero,ZLX BS IV,Bolero ZLX BS
Mahindra,Bolero Neo,N 10 (O),Bolero Neo N
Mahindra,Bolero Neo,N 8,Bolero Neo N
Mahindra,Bolero Neo,N10,Bolero Neo N
Mahindra,Bolero Neo,N10 R,Bolero Neo N
Mahindra,Bolero Neo,N4,Bolero Neo N
Mahindra,Bolero Neo,N8,Bolero Neo N
Mahindra,KUV 100 NXT,K2 P 6 STR,KUV 100 NXT K
Mahindra,KUV 100 NXT,K2+ P 6 STR,KUV 100 NXT K
Mahindra,KUV 100 NXT,K4+ P 6 STR,KUV 100 NXT K
Mahindra,KUV 100 NXT,K6+ P 6 STR,KUV 100 NXT K
Mahindra,KUV 100 NXT,K8 P 6 STR,KUV 100 NXT K
Mahindra,KUV 100 NXT,K8 P 6 STR DUAL TONE,KUV 100 NXT K
Mahindra,KUV100 NXT,K2 Plus 6 STR [2017-2020],KUV100 NXT K
Mahindra,KUV100 NXT,K4 Plus 5 STR,KUV100 NXT K
Mahindra,KUV100 NXT,K4 Plus 6 STR [2017-2020],KUV100 NXT K
Mahindra,KUV100 NXT,K6 Plus D 6 STR,KUV100 NXT K
Mahindra,Kuv100,K2 PLUS D 6 STR,Kuv100 K
Mahindra,Kuv100,K4 6 STR,Kuv100 K
Mahindra,Kuv100,K6 PLUS D 6 STR,Kuv100 K
Mahindra,Kuv100,K8 6 STR,Kuv100 K
Mahindra,Marazzo,M6 7 STR,Marazzo M
Mahindra,Marazzo,M6 8 STR,Marazzo M
Mahindra,Marazzo,M6 Plus 7 STR [2020],Marazzo M
Mahindra,Marazzo,M8 7 STR,Marazzo M
Mahindra,SCORPIO-N,Z8 L DIESEL MT 4WD 7 STR,SCORPIO-N Z
Mahindra,SCORPIO-N,Z8 L PETROL MT 7 STR,SCORPIO-N Z
Mahindra,Scorpio,S10,Scorpio S
Mahindra,Scorpio,S10 AT,Scorpio S
Mahindra,Scorpio,S11 2WD,Scorpio S
Mahindra,Scorpio,S11 MT 7S,Scorpio S
Mahindra,Scorpio,S4,Scorpio S
Mahindra,Scorpio,S4 Plus,Scorpio S
Mahindra,Scorpio,S5,Scorpio S
Mahindra,Scorpio,S6 Plus 1.99 [2016-2017],Scorpio S
Mahindra,Scorpio,S8,Scorpio S
Mahindra,Scorpio,S9,Scorpio S
Mahindra,Scorpio 2021,S11,Scorpio 2021 S
Mahindra,Scorpio 2021,S11 2WD 7 STR,Scorpio 2021 S
Mahindra,Scorpio 2021,S5 2WD 7 STR,Scorpio 2021 S
Mahindra,Scorpio 2021,S9 2WD 7 STR,Scorpio 2021 S
Mahindra,Scorpio N,Z6 Diesel MT 2WD 7 STR [2022],Scorpio N Z
Mahindra,Scorpio N,Z8 Diesel AT 2WD 7 STR [2022],Scorpio N Z
Mahindra,Scorpio N,Z8 Diesel MT 2WD 7 STR [2022],Scorpio N Z
Mahindra,Scorpio N,Z8 L Diesel AT 2WD 7 STR [2022],Scorpio N Z
Mahindra,Scorpio N,Z8 L Diesel MT 2WD 7 STR [2022],Scorpio N Z
Mahindra,Scorpio N,Z8 L Petrol MT 7 STR [2022],Scorpio N Z
Mahindra,TUV300,T10,TUV300 T
Mahindra,TUV300,T4 Plus,TUV300 T
Mahindra,TUV300,T6 PLUS,TUV300 T
Mahindra,TUV300,T6 Plus,TUV300 T
Mahindra,TUV300,T8,TUV300 T
Mahindra,TUV300,T8 AMT,TUV300 T
Mahindra,Thar,CRDe 4x4 ABS,Thar 4WD
Mahindra,Thar,CRDe 4x4 AC,Thar 4WD
Mahindra,Thar,CRDe 4x4 AC1,Thar 4WD
Mahindra,Thar,CRDe 4x4 Non AC,Thar 4WD
Mahindra,Thar,LX  P 4WD AT CONVERTIBLE,Thar LX 
Mahindra,Thar,LX Convertible Diesel AT,Thar LX 
Mahindra,Thar,LX Convertible Top Diesel AT 4WD,Thar LX 
Mahindra,Thar,LX D 4WD AT CONVERTIBLE,Thar LX 
Mahindra,Thar,LX Hard Top Diesel AT,Thar LX 
Mahindra,Thar,LX Hard Top Diesel AT 4WD [2023],Thar LX 
Mahindra,Thar,LX Hard Top Diesel MT,Thar LX 
Mahindra,Thar,LX Hard Top Diesel MT 4WD,Thar LX 
Mahindra,Thar,LX Hard Top Diesel MT RWD,Thar LX 
Mahindra,Thar,LX Hard Top Petrol AT,Thar LX 
Mahindra,Thar,LX Hard Top Petrol MT,Thar LX 
Mahindra,Thar,LX Hard Top Petrol MT 4WD,Thar LX 
Mahindra,Thar,LX PETROL HT 4WD AT,Thar LX 
Mahindra,Verito,1.5 D6 BS-III,Verito D
Mahindra,Verito Vibe CS,1.5 D6,Verito Vibe CS D
Mahindra,XUV300,1.5 W4 [2019-2020],XUV300 W
Mahindra,XUV300,1.5 W6 [2019-2020],XUV300 W
Mahindra,XUV300,1.5 W8 (O) [2019-2020],XUV300 W
Mahindra,XUV300,W4 1.2 PETROL,XUV300 W
Mahindra,XUV300,W4 1.5 DIESEL,XUV300 W
Mahindra,XUV300,W4 1.5 Diesel [2020],XUV300 W
Mahindra,XUV300,W6 1.2 PETROL,XUV300 W
Mahindra,XUV300,W6 1.2 PETROL AMT,XUV300 W
Mahindra,XUV300,W6 1.2 Petrol,XUV300 W
Mahindra,XUV300,W6 1.2 Petrol AMT [2021],XUV300 W
Mahindra,XUV300,W6 1.5 DIESEL,XUV300 W
Mahindra,XUV300,W6 1.5 DIESEL AMT,XUV300 W
Mahindra,XUV300,W6 1.5 Diesel AMT [2020],XUV300 W
Mahindra,XUV300,W8 (O) 1.2 PETROL,XUV300 W
Mahindra,XUV300,W8 (O) 1.2 PETROL AMT,XUV300 W
Mahindra,XUV300,W8 (O) 1.2 Petrol,XUV300 W
Mahindra,XUV300,W8 (O) 1.2 Petrol AMT,XUV300 W
Mahindra,XUV300,W8 (O) 1.2 Petrol [2019],XUV300 W
Mahindra,XUV300,W8 (O) 1.5 DIESEL,XUV300 W
Mahindra,XUV300,W8 (O) 1.5 DIESEL AMT,XUV300 W
Mahindra,XUV300,W8 (O) 1.5 Diesel AMT,XUV300 W
Mahindra,XUV300,W8 (O) 1.5 Diesel [2020],XUV300 W
Mahindra,XUV300,W8 1.2 PETROL,XUV300 W
Mahindra,XUV300,W8 1.2 Petrol [2019],XUV300 W
Mahindra,XUV300,W8 1.5 DIESEL,XUV300 W
Mahindra,XUV300,W8 1.5 Diesel [2020],XUV300 W
Mahindra,XUV300,W8(O) 1.2 PETROL DUAL TONE,XUV300 W
Mahindra,XUV300,W8(O) 1.5 Diesel Dual Tone [2020],XUV300 W
Mahindra,XUV500,W10,XUV500 W
Mahindra,XUV500,W10 1.99,XUV500 W
Mahindra,XUV500,W10 AT,XUV500 W
Mahindra,XUV500,W10 AT 1.99,XUV500 W
Mahindra,XUV500,W10 AWD,XUV500 W
Mahindra,XUV500,W10 AWD AT,XUV500 W
Mahindra,XUV500,W11,XUV500 W
Mahindra,XUV500,W11 (O) AT,XUV500 W
Mahindra,XUV500,W11 (O) AWD,XUV500 W
Mahindra,XUV500,W11 (O) AWD AT,XUV500 W
Mahindra,XUV500,W11 AT,XUV500 W
Mahindra,XUV500,W11(O),XUV500 W
Mahindra,XUV500,W11(O) [2018-2020],XUV500 W
Mahindra,XUV500,W4 [2015-2016],XUV500 W
Mahindra,XUV500,W5,XUV500 W
Mahindra,XUV500,W5 [2018-2020],XUV500 W
Mahindra,XUV500,W6,XUV500 W
Mahindra,XUV500,W6 AT,XUV500 W
Mahindra,XUV500,W7,XUV500 W
Mahindra,XUV500,W7 AT,XUV500 W
Mahindra,XUV500,W7 AT [2018-2020],XUV500 W
Mahindra,XUV500,W7 [2018-2020],XUV500 W
Mahindra,XUV500,W8,XUV500 W
Mahindra,XUV500,W8 2013,XUV500 W
Mahindra,XUV500,W8 AT [2015-2017],XUV500 W
Mahindra,XUV500,W8 [2015-2017],XUV500 W
Mahindra,XUV500,W9,XUV500 W
Mahindra,XUV500,W9 AT,XUV500 W
Mahindra,XUV500,W9 [2018-2020],XUV500 W
Mahindra,XUV700,AX 3 Diesel AT 5 STR [2021],XUV700 AX
Mahindra,XUV700,AX 5 Diesel AT 5 STR [2021],XUV700 AX
Mahindra,XUV700,AX 5 Diesel MT 7 STR [2021],XUV700 AX
Mahindra,XUV700,AX 5 P AT 5 STR,XUV700 AX
Mahindra,XUV700,AX 5 Petrol AT 5 STR [2021],XUV700 AX
Mahindra,XUV700,AX 7 Diesel  AT Luxury Pack 7 STR [2021],XUV700 AX
Mahindra,XUV700,AX 7 Diesel AT 7 STR [2021],XUV700 AX
Mahindra,XUV700,AX 7 Diesel AT AWD 7 STR [2021],XUV700 AX
Mahindra,XUV700,AX 7 Diesel AT AWD Luxury Pack 7 STR [2021],XUV700 AX
Mahindra,XUV700,AX 7 Diesel MT Luxury Pack 7 STR [2021],XUV700 AX
Mahindra,XUV700,AX 7 LUXURY D AWD AT 7 STR,XUV700 AX
Mahindra,XUV700,AX 7 P AT 7 STR,XUV700 AX
Mahindra,XUV700,AX 7 Petrol AT Luxury Pack 7 STR [2021],XUV700 AX
Mahindra,XUV700,MX Petrol MT 5 STR [2021],XUV700 MX Petrol
Mahindra,Xylo,E4 BS-III,Xylo E4 BS-III
Maruti,A Star,LXI,A Star LX
Maruti,A Star,VXI,A Star VX
Maruti,A Star,VXI (ABS) AT,A Star VX
Maruti,Alto,LX,Alto LX
Maruti,Alto,LXI,Alto LX
Maruti,Alto,LXi BS-III,Alto LX
Maruti,Alto,LXi BS-IV,Alto LX
Maruti,Alto,LXI CNG,Alto LX
Maruti,Alto,LXI O,Alto LX
Maruti,Alto,LXI OPT CNG,Alto LX
Maruti,Alto,VXI,Alto VX
Maruti,Alto,VXI PLUS,Alto VX
Maruti,Alto 800,LXI,Alto 800 LX
Maruti,Alto 800,Lxi,Alto 800 LX
Maruti,Alto 800,LXi (O),Alto 800 LX
Maruti,Alto 800,LXI ANNIVERSARY EDITION,Alto 800 LX
Maruti,Alto 800,LXI CNG,Alto 800 LX
Maruti,Alto 800,LXI CNG O,Alto 800 LX
Maruti,Alto 800,Lxi CNG,Alto 800 LX
Maruti,Alto 800,LXI O,Alto 800 LX
Maruti,Alto 800,LXI UTSAV LIMITED EDITION,Alto 800 LX
Maruti,Alto 800,Tour H1,Alto 800 Tour H1
Maruti,Alto 800,VXI,Alto 800 VX
Maruti,Alto 800,VXi,Alto 800 VX
Maruti,Alto 800,Vxi,Alto 800 VX
Maruti,Alto 800,VXi (O),Alto 800 VX
Maruti,Alto 800,Vxi Plus,Alto 800 VX
Maruti,Alto K10,LXI,Alto K10 LX
Maruti,Alto K10,LXi,Alto K10 LX
Maruti,Alto K10,LXi [2022-2023],Alto K10 LX
Maruti,Alto K10,LXI CNG (AIRBAG),Alto K10 LX
Maruti,Alto K10,LXi CNG (Airbag) [2014-2019],Alto K10 LX
Maruti,Alto K10,VXI,Alto K10 VX
Maruti,Alto K10,VXi,Alto K10 VX
Maruti,Alto K10,VXI (O),Alto K10 VX
Maruti,Alto K10,VXI (O) AMT,Alto K10 VX
Maruti,Alto K10,VXi (O),Alto K10 VX
Maruti,Alto K10,VXi (O) [2014-2019],Alto K10 VX
Maruti,Alto K10,VXi [2014-2019],Alto K10 VX
