srno,make,model,variant,n,new_variant,FORMULA,Column1,,,2158,1095,871
218,Ford,EcoSport,TITANIUM 1.5 SPORTS(SUNROOF) PETROL,1,,TITANIUM 1.5,TITANIUM 1.5,,,,,
219,Ford,EcoSport,TITANIUM 1.5L DIESEL,17,,TITANIUM 1.5L,TITANIUM 1.5L,,,,,
220,Ford,EcoSport,TITANIUM 1.5L PETROL,21,,TITANIUM 1.5L,TITANIUM 1.5L,,,,,
221,Ford,EcoSport,TITANIUM 1.5L PETROL AT,13,,TITANIUM 1.5L,TITANIUM 1.5L,,,,,
222,Ford,EcoSport,TITANIUM 1.5L SIGNATURE EDITION (SUNROOF) DIESEL,1,,TITANIUM 1.5L,TITANIUM 1.5L,,,,,
223,Ford,EcoSport,TITANIUM 1.5L SIGNATURE EDITION (SUNROOF) PETROL,1,,TITANIUM 1.5L,TITANIUM 1.5L,,,,,
224,Ford,EcoSport,TITANIUM 1.5L THUNDER EDTION DIESEL,2,,TITANIUM 1.5L,TITANIUM 1.5L,,,,,
225,Ford,EcoSport,TITANIUM+ 1.0L ECOBOOST,1,,TITANIUM+ 1.0L,TITANIUM+ 1.0L,,,,,
226,Ford,EcoSport,TITANIUM+ 1.5L DIESEL,2,,TITANIUM+ 1.5L,TITANIUM+ 1.5L,,,,,
227,Ford,EcoSport,TREND + 1.5L PETROL,1,,TREND +,TREND +,,,,,
228,Ford,EcoSport,TREND + 1.5L PETROL AT,4,,TREND +,TREND +,,,,,
229,Ford,EcoSport,TREND 1.5L DIESEL,7,,TREND 1.5L,TREND 1.5L,,,,,
230,Ford,EcoSport,TREND 1.5L PETROL,4,,TREND 1.5L,TREND 1.5L,,,,,
231,Ford,EcoSport,TREND+ 1.0L ECOBOOST,2,,TREND+ 1.0L,TREND+ 1.0L,,,,,
232,Ford,EcoSport,TREND+ 1.5L DIESEL,5,,TREND+ 1.5L,TREND+ 1.5L,,,,,
233,Ford,EcoSport,Titanium + 1.5L TDCi,2,,Titanium +,Titanium +,,,,,
234,Ford,EcoSport,Titanium + 1.5L TDCi [2019-2020],1,,Titanium +,Titanium +,,,,,
235,Ford,EcoSport,Titanium + 1.5L Ti-VCT,1,,Titanium +,Titanium +,,,,,
236,Ford,EcoSport,Titanium + 1.5L Ti-VCT AT,1,,Titanium +,Titanium +,,,,,
237,Ford,EcoSport,Titanium + 1.5L Ti-VCT AT [2019-2020],12,,Titanium +,Titanium +,,,,,
238,Ford,EcoSport,Titanium 1.0 Ecoboost,1,,Titanium 1.0,Titanium 1.0,,,,,
239,Ford,EcoSport,Titanium 1.5 TDCi,1,,Titanium 1.5,Titanium 1.5,,,,,
240,Ford,EcoSport,Titanium 1.5 TDCi (Opt),1,,Titanium 1.5,Titanium 1.5,,,,,
241,Ford,EcoSport,Titanium 1.5 Ti-VCT,1,,Titanium 1.5,Titanium 1.5,,,,,
242,Ford,EcoSport,Titanium 1.5L TDCi,10,,Titanium 1.5L,Titanium 1.5L,,,,,
243,Ford,EcoSport,Titanium 1.5L TDCi Black Edition,1,,Titanium 1.5L,Titanium 1.5L,,,,,
244,Ford,EcoSport,Titanium 1.5L TDCi [2019-2020],1,,Titanium 1.5L,Titanium 1.5L,,,,,
245,Ford,EcoSport,Titanium 1.5L Ti-VCT,7,,Titanium 1.5L,Titanium 1.5L,,,,,
246,Ford,EcoSport,Titanium 1.5L Ti-VCT AT,5,,Titanium 1.5L,Titanium 1.5L,,,,,
247,Ford,EcoSport,Titanium+ 1.5L TDCi,1,,Titanium+ 1.5L,Titanium+ 1.5L,,,,,
248,Ford,EcoSport,Titanium+ 1.5L TDCi Black Edition,1,,Titanium+ 1.5L,Titanium+ 1.5L,,,,,
249,Ford,EcoSport,Trend + 1.5L TDCi,1,,Trend +,Trend +,,,,,
250,Ford,EcoSport,Trend + 1.5L Ti-VCT AT,2,,Trend +,Trend +,,,,,
251,Ford,EcoSport,Trend 1.5 Ti-VCT,1,,Trend 1.5,Trend 1.5,,,,,
252,Ford,EcoSport,Trend 1.5L TDCi,1,,Trend 1.5L,Trend 1.5L,,,,,
253,Ford,EcoSport,Trend 1.5L Ti-VCT,1,,Trend 1.5L,Trend 1.5L,,,,,
254,Ford,EcoSport,Trend+ 1.0L EcoBoost,1,,Trend+ 1.0L,Trend+ 1.0L,,,,,
255,Ford,EcoSport,Trend+ 1.5L TDCi,1,,Trend+ 1.5L,Trend+ 1.5L,,,,,
256,Ford,Endeavour,3.0L 4x4 AT,2,,3.0L 4x4,3.0L 4x4,,,,,
257,Ford,Endeavour,Titanium 3.2 4x4 AT,5,,Titanium 3.2,Titanium 3.2,,,,,
258,Ford,Endeavour,Titanium Plus 2.0 4x2 AT,2,,Titanium Plus,Titanium Plus,,,,,
259,Ford,Endeavour,Titanium Plus 2.0 4x4 AT,2,,Titanium Plus,Titanium Plus,,,,,
260,Ford,Endeavour,Titanium Plus 3.2 4x4 AT,2,,Titanium Plus,Titanium Plus,,,,,
261,Ford,Endeavour,Trend 2.2 4x2 AT,1,,Trend 2.2,Trend 2.2,,,,,
262,Ford,Endeavour,Trend 3.2 4x4 AT,1,,Trend 3.2,Trend 3.2,,,,,
263,Ford,Fiesta,SXi 1.6,1,,SXi 1.6,SXi 1.6,,,,,
264,Ford,Figo,Ambiente 1.2 Ti-VCT,1,,Ambiente 1.2,Ambiente 1.2,,,,,
265,Ford,Figo,Duratec Petrol ZXI 1.2,1,,Duratec Petrol,Duratec Petrol,,,,,
266,Ford,Figo,Duratorq Diesel LXI 1.4,2,,Duratorq Diesel,Duratorq Diesel,,,,,
267,Ford,Figo,Duratorq Diesel ZXI 1.4,5,,Duratorq Diesel,Duratorq Diesel,,,,,
268,Ford,Figo,Trend 1.2 Ti-VCT [2015-2016],1,,Trend 1.2,Trend 1.2,,,,,
269,Ford,Figo,Trend 1.5L TDCi [2015-2016],1,,Trend 1.5L,Trend 1.5L,,,,,
270,Ford,Freestyle,FLAIR EDITION 1.2 PETROL,1,,FLAIR EDITION,FLAIR EDITION,,,,,
271,Ford,Freestyle,TITANIUM 1.2 PETROL,4,,TITANIUM 1.2,TITANIUM 1.2,,,,,
272,Ford,Freestyle,TITANIUM 1.5 DIESEL,1,,TITANIUM 1.5,TITANIUM 1.5,,,,,
273,Ford,Freestyle,TITANIUM PLUS 1.2 PETROL,12,,TITANIUM PLUS,TITANIUM PLUS,,,,,
274,Ford,Freestyle,TITANIUM PLUS 1.5 DIESEL,2,,TITANIUM PLUS,TITANIUM PLUS,,,,,
275,Ford,Freestyle,TREND 1.2 PETROL,1,,TREND 1.2,TREND 1.2,,,,,
276,Ford,Freestyle,TREND PLUS 1.2 PETROL,2,,TREND PLUS,TREND PLUS,,,,,
277,Ford,Freestyle,Titanium 1.2 Ti-VCT [2018-2020],1,,Titanium 1.2,Titanium 1.2,,,,,
278,Ford,Freestyle,Titanium 1.5 TDCi [2018-2020],1,,Titanium 1.5,Titanium 1.5,,,,,
279,Ford,Freestyle,Titanium Plus 1.2 Ti-VCT [2018-2020],2,,Titanium Plus,Titanium Plus,,,,,
280,Ford,Freestyle,Trend 1.2 Ti-VCT [2018-2019],1,,Trend 1.2,Trend 1.2,,,,,
281,Ford,Mustang,GT Fastback 5.0L v8,1,,GT Fastback,GT Fastback,,,,,
