make,model,variant,year,transmission,bodyType,fuelType,ownerNumber,odometerReading,cityRto,listingPrice,fitnessUpto,insuranceType,duplicateKey,city,registrationYear,registrationMonth,websiteUrl
Skoda,Rapid,Style 1.5 TDI AT,2017,"Automatic - 7 Gears, Manual Override, Sport Mode",Sedan,Diesel,First,"75,000",TN07K5454,945000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/skoda-rapid/rab7xjja/
Kia,Seltos [2019-2022],GTX Plus AT 1.5 Diesel [2019-2020],2021,"Automatic - 6 Gears, Manual Override",SUV,Diesel,First,"47,500",TN01BD1188,1600000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/kia-seltos/1m50qdhx/
Mercedes-Benz,GLS [2020-2024],400d 4MATIC [2020-2023],2021,"Automatic (TC) - 9 Gears, Paddle Shift, Sport Mode",SUV,Diesel,First,"27,000",TN09BL2277,10900000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/mercedes-benz-gls/dp159erp/
BMW,X3,xDrive20d Luxury Edition [2022-2023],2023,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",SUV,Diesel,First,"16,000",TN01CV5577,7200000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/bmw-x3/xiq4m3wz/
Volkswagen,Vento [2015-2019],Highline Plus 1.2 (P) AT 16 Alloy,2016,"Automatic - 7 Gears, Manual Override, Sport Mode",Sedan,Petrol,First,"24,000",TN01BA8805,745000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/volkswagen-vento/xzdqho70/
BMW,X5 [2019-2023],xDrive30d xLine,2020,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",SUV,Diesel,First,"43,000",TN01DE1881,7900000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/bmw-x5/tosugdvw/
Volvo,XC90 [2015-2021],Momentum Luxury [2015-2020],2017,"Automatic - 8 Gears, Manual Override, Sport Mode",SUV,Diesel,Second,"47,000",TN05BL6363,4475000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/volvo-xc90/932d2f750bae4dbbad0b247670108c61/
BMW,3 Series [2010-2012],320d,2012,Not Available,Sedan,Not Available,Second,"55,000",TN02V4546,1330000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/bmw-3-series/fee9840c693a48a885948ace62c8ce0e/
Skoda,Octavia [2017-2021],2.0 TDI L&K,2017,"Automatic - 6 Gears, Paddle Shift, Sport Mode",Sedan,Diesel,First,"55,000",TN01CM0999,1935000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/skoda-octavia/afea193a6a0c41a9b4aafe58a6359d17/
BMW,X5 [2019-2023],xDrive30d xLine,2019,"Automatic (TC) - 8 Gears, Manual Override & Paddle Shift, Sport Mode",SUV,Diesel,First,"38,000",TN07BZ0909,7200000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/bmw-x5/47eeb37077b147e6aed74650e4912a60/
Audi,Q3 [2015-2017],35 TDI Premium Plus + Sunroof,2016,"Automatic - 7 Gears, Manual Override, Sport Mode",SUV,Diesel,First,"55,000",TN01CE0909,2050000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/audi-q3/22417c119be04da9b1a40a74f61e9eea/
Mercedes-Benz,GLE [2020-2023],300d 4MATIC LWB [2020-2023],2020,"Automatic (TC) - 9 Gears, Paddle Shift, Sport Mode",SUV,Diesel,First,"30,000",TN14E1239,6975000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/mercedes-benz-gle/a044c12275d14487ad24d394c031f17c/
Audi,A3 [2014-2017],35 TDI Premium Plus + Sunroof,2019,"Automatic - 6 Gears, Manual Override, Sport Mode",Sedan,Diesel,First,"23,000",TN06AR9099,2700000,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/audi-a3/4283b3cff13142bf82efb46dd33b48f4/
Mercedes-Benz,GLE [2020-2023],300d 4MATIC LWB [2020-2023],2022,"Automatic (TC) - 9 Gears, Paddle Shift, Sport Mode",SUV,Diesel,First,"5,000",TN01C3399,8900001,MISSING,Comprehensive,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/mercedes-benz-gle/16df7c2019a14d73b0bd36a254c37994/
BMW,X3 [2018-2022],xDrive 20d Luxury Line [2018-2020],2018,"Automatic - 8 Gears, Manual Override, Sport Mode",SUV,Diesel,First,"23,000",TN03B2525,4500000,MISSING,,MISSING,Chennai,01/01/0001 00:00:00,MISSING,https://www.carwale.com/used-cars/chennai/bmw-x3/6355ffd901e74ac5951aa9babc89410a/
